Hugo_Symbol	All	TNBC	ER+	ER-	LumA	LumB	Basal	Her2
AASS	0.0064794816414686825	0.005333333333333333	0.005649717514124294	0.009708737864077669	0.009569377990430622	0.0	0.012345679012345678	0.0
AATK	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
ABAT	0.0064794816414686825	0.008	0.00847457627118644	0.0	0.009569377990430622	0.008928571428571428	0.0	0.0
ABCA1	0.0064794816414686825	0.005333333333333333	0.005649717514124294	0.0	0.009569377990430622	0.008928571428571428	0.0	0.0
ABCA10	0.0064794816414686825	0.008	0.005649717514124294	0.009708737864077669	0.0	0.008928571428571428	0.0	0.018867924528301886
ABCA12	0.008639308855291577	0.008	0.00847457627118644	0.009708737864077669	0.0	0.008928571428571428	0.024691358024691357	0.018867924528301886
ABCA13	0.03023758099352052	0.024	0.025423728813559324	0.038834951456310676	0.028708133971291867	0.017857142857142856	0.037037037037037035	0.05660377358490566
ABCA3	0.0064794816414686825	0.005333333333333333	0.002824858757062147	0.019417475728155338	0.0	0.008928571428571428	0.024691358024691357	0.0
ABCA4	0.01079913606911447	0.008	0.005649717514124294	0.019417475728155338	0.004784688995215311	0.008928571428571428	0.012345679012345678	0.03773584905660377
ABCA5	0.0064794816414686825	0.008	0.00847457627118644	0.0	0.004784688995215311	0.008928571428571428	0.0	0.018867924528301886
ABCA6	0.0064794816414686825	0.005333333333333333	0.005649717514124294	0.009708737864077669	0.004784688995215311	0.008928571428571428	0.012345679012345678	0.0
ABCA7	0.01079913606911447	0.005333333333333333	0.005649717514124294	0.02912621359223301	0.004784688995215311	0.008928571428571428	0.037037037037037035	0.0
